"","host_id","id","host_since","neighborhood_cleaned","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","extra_people","minimum_nights","review_scores_rating","review_scores_value","revenue"
"1",1662,304958,2008-08-11,"Westerpark","Apartment","Entire home/apt",4,2,2,2,"Real Bed",130,4,10,4,98,10,11440
"2",3159,2818,2008-09-24,"Docklands - Indian Neighborhood","Apartment","Private room",2,1,1,2,"Real Bed",59,1,10,3,97,10,44712
"3",15618,51969,2009-05-02,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",3,1.5,2,2,"Real Bed",100,2,30,7,95,10,5460
"4",186729,82482,2010-07-31,"Center-West","Apartment","Private room",4,1,1,1,"Real Bed",85,2,15,1,89,9,59400
"5",1738291,740332,2012-02-12,"Watergraafsmeer","House","Private room",2,1,1,1,"Real Bed",45,1,30,2,91,9,28200
"6",1738291,342540,2012-02-12,"Watergraafsmeer","Bed & Breakfast","Private room",2,1,1,2,"Real Bed",60,1,30,1,91,9,12780
"7",1738804,1239854,2012-02-12,"Center-West","Apartment","Entire home/apt",4,1,2,2,"Futon",149,3,30,2,96,10,7160
"8",1739359,451408,2012-02-12,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",5,1.5,3,3,"Real Bed",175,3,40,2,98,9,10320
"9",1740785,343094,2012-02-12,"Former East","House","Private room",2,1,1,1,"Real Bed",79,2,10,2,97,10,18644
"10",1743575,315820,2012-02-13,"Former East","Apartment","Entire home/apt",4,1.5,2,2,"Real Bed",107,2,30,2,98,10,10412
"11",1751751,345397,2012-02-14,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",4,1,2,2,"Real Bed",130,1,0,4,95,9,19760
"12",1754623,1946342,2012-02-15,"Westerpark","Apartment","Entire home/apt",2,1,1,1,"Real Bed",100,1,0,2,99,10,6000
"13",1755733,346488,2012-02-15,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,1,2,"Real Bed",85,2,35,3,99,10,28560
"14",1759884,588020,2012-02-16,"Center-East","Apartment","Private room",6,1,1,6,"Real Bed",250,1,0,3,80,8,3000
"15",187417,42908,2010-08-01,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",2,1,1,2,"Real Bed",125,2,0,2,100,10,4000
"16",1759884,588288,2012-02-16,"Center-West","Apartment","Entire home/apt",4,1,2,1,"Real Bed",250,5,0,4,94,10,2000
"17",1759884,357948,2012-02-16,"IJburg - Zeeburgereiland","Apartment","Entire home/apt",2,1,1,1,"Real Bed",75,1,0,7,100,9,7350
"18",1769083,4053195,2012-02-18,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",130,0,0,2,100,10,2600
"19",1778815,2247902,2012-02-01,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,2,1,"Real Bed",100,2,0,2,96,9,4800
"20",1780142,1038153,2012-02-01,"South","Apartment","Entire home/apt",4,1,2,3,"Real Bed",120,3,40,2,97,10,20480
"21",1784454,1780600,2012-02-21,"Westerpark","Apartment","Entire home/apt",3,1,1,1,"Real Bed",69,2,25,1,87,8,1128
"22",187580,42970,2010-08-01,"Center-West","Bed & Breakfast","Entire home/apt",2,1,1,1,"Real Bed",139,1,0,2,97,9,119540
"23",1784828,366067,2012-02-21,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",4,1,1,2,"Real Bed",70,2,30,2,95,9,7600
"24",1793657,3565477,2012-02-22,"Westerpark","Apartment","Entire home/apt",3,1,2,2,"Real Bed",95,2,10,3,100,10,2520
"25",1793657,3606996,2012-02-22,"Westerpark","Apartment","Private room",2,1,1,1,"Real Bed",55,1,25,2,100,9,960
"26",1801815,356220,2012-02-24,"Center-East","Apartment","Private room",2,1.5,1,2,"Real Bed",110,1,0,1,99,9,14960
"27",1804272,1754306,2012-02-24,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",2,1,2,1,"Real Bed",85,2,20,4,100,10,680
"28",1811745,357980,2012-02-26,"The Baarsjes - Old West","House","Entire home/apt",6,1.5,3,4,"Real Bed",200,3,20,2,96,9,26400
"29",1811745,2394147,2012-02-26,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",135,2,0,2,99,10,8100
"30",1812619,358155,2012-02-26,"Center-East","Apartment","Entire home/apt",6,1,2,2,"Real Bed",119,2,50,1,93,9,31096
"31",1813748,555382,2012-02-26,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",2,1,1,1,"Real Bed",75,1,0,5,97,10,4500
"32",187580,253650,2010-08-01,"Center-West","Bed & Breakfast","Entire home/apt",2,1,1,1,"Real Bed",139,1,0,2,97,9,66720
"33",1814038,447138,2012-02-26,"The Baarsjes - Old West","Apartment","Entire home/apt",4,1.5,2,2,"Real Bed",150,1,0,5,97,9,13500
"34",1814252,682461,2012-02-26,"Former East","Apartment","Entire home/apt",2,1,2,3,"Real Bed",120,4,0,3,99,9,15120
"35",1817606,352886,2012-02-27,"Westerpark","Apartment","Entire home/apt",4,1,2,2,"Real Bed",140,2,35,3,100,10,6300
"36",1817922,359298,2012-02-27,"Center-East","Apartment","Entire home/apt",3,1,2,2,"Real Bed",80,2,40,2,90,9,36480
"37",1817958,1189966,2012-02-27,"Docklands - Indian Neighborhood","Apartment","Entire home/apt",4,1,2,2,"Real Bed",65,2,20,3,100,8,510
"38",1818342,359408,2012-02-27,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",109,1,0,3,94,9,25506
"39",1824421,4716064,2012-02-28,"Former East","Apartment","Entire home/apt",3,1,1,2,"Real Bed",115,2,30,2,80,9,2320
"40",1826139,510836,2012-02-28,"Center-West","Apartment","Entire home/apt",15,3.5,5,10,"Real Bed",500,8,40,2,97,9,116640
"41",1826139,422044,2012-02-28,"Center-West","Apartment","Entire home/apt",8,2,3,6,"Real Bed",275,4,40,2,97,9,95760
"42",1826139,361342,2012-02-28,"Center-West","Apartment","Entire home/apt",6,1.5,2,4,"Real Bed",225,4,35,2,99,9,47840
"43",187580,568110,2010-08-01,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",195,1,0,4,94,9,20280
"44",1827408,1325394,2012-02-28,"Slotervaart","House","Entire home/apt",3,1.5,1,2,"Real Bed",95,2,25,5,96,10,21600
"45",1827408,4215376,2012-02-28,"Slotervaart","House","Private room",2,1.5,1,1,"Real Bed",50,1,20,5,100,10,700
"46",1829492,1034129,2012-02-29,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",6,1,2,4,"Real Bed",240,4,40,3,91,9,21840
"47",1829492,439082,2012-02-29,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",4,1,2,2,"Real Bed",165,2,45,4,99,10,105840
"48",1829492,1341241,2012-02-29,"South","Apartment","Entire home/apt",4,1,2,2,"Real Bed",145,2,50,3,91,9,2340
"49",1829492,1703361,2012-02-29,"Center-West","Apartment","Entire home/apt",4,1,2,2,"Real Bed",165,2,40,3,90,8,14760
"50",1829492,616730,2012-02-29,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",4,1,2,2,"Real Bed",150,2,40,5,91,9,26600
"51",187728,634772,2010-08-01,"Center-West","House","Entire home/apt",4,1.5,1,1,"Real Bed",170,2,25,2,100,10,780
"52",1829492,3699518,2012-02-29,"Center-East","Apartment","Entire home/apt",3,1.5,2,2,"Real Bed",130,2,35,5,100,10,1650
"53",1829492,2449350,2012-02-29,"Center-East","Apartment","Entire home/apt",3,1.5,2,2,"Real Bed",150,2,50,4,91,8,14400
"54",1829492,1635071,2012-02-29,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",3,1,1,2,"Real Bed",135,2,45,6,96,9,12960
"55",1829492,2049891,2012-02-29,"Center-East","Apartment","Entire home/apt",3,1,1,1,"Real Bed",140,2,35,5,99,10,5250
"56",1829492,1957586,2012-02-29,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",3,1.5,1,2,"Real Bed",130,2,40,3,89,8,9180
"57",1829492,2937149,2012-02-29,"Center-West","Apartment","Entire home/apt",3,1.5,1,4,"Real Bed",155,2,40,4,80,8,17160
"58",1829492,1889461,2012-02-29,"Center-East","Apartment","Entire home/apt",2,1,1,1,"Real Bed",155,1,0,4,100,10,1240
"59",1829492,1779762,2012-02-29,"Westerpark","Apartment","Entire home/apt",2,1,1,1,"Real Bed",155,1,0,4,100,9,6200
"60",1829492,3000232,2012-02-29,"Former East","Apartment","Entire home/apt",2,1,1,1,"Real Bed",130,2,0,4,80,6,1040
"61",1829492,2538401,2012-02-29,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",2,1.5,1,2,"Real Bed",160,1,0,3,99,10,14400
"62",1830475,362193,2012-02-29,"Center-East","Apartment","Entire home/apt",7,1.5,2,2,"Real Bed",199,4,40,2,73,8,7648
"63",1831568,362458,2012-02-29,"Center-East","Apartment","Private room",2,1,1,1,"Real Bed",50,1,25,2,96,9,1800
"64",1835494,363166,2012-03-01,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",100,2,0,7,96,10,29400
"65",187728,44129,2010-08-01,"Center-West","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",200,2,0,1,98,9,54400
"66",1848809,477280,2012-03-03,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",4,1,2,2,"Real Bed",110,2,40,3,94,9,19800
"67",1849726,2700366,2012-03-03,"Docklands - Indian Neighborhood","Apartment","Entire home/apt",2,1,1,1,"Real Bed",75,1,0,3,98,10,4500
"68",1849988,366438,2012-03-03,"Center-East","Apartment","Entire home/apt",4,1,1,2,"Real Bed",100,2,30,2,95,9,108160
"69",1855417,367491,2012-03-04,"Center-West","Apartment","Entire home/apt",3,1,1,1,"Real Bed",149,2,0,3,97,9,20562
"70",1865809,370181,2012-03-05,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",2,1,1,1,"Real Bed",149,2,0,4,100,10,7152
"71",1869083,5202774,2012-03-06,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",135,1,0,3,100,10,1620
"72",1869958,371208,2012-03-06,"Center-West","Apartment","Entire home/apt",2,0,1,1,"Real Bed",110,2,15,3,96,9,9240
"73",1881746,574760,2012-03-08,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",69,1,10,2,98,9,50876
"74",1882069,4054356,2012-03-08,"The Baarsjes - Old West","Apartment","Shared room",1,1,1,1,"Couch",39,1,0,1,90,9,936
"75",1884436,725867,2012-03-08,"South","Apartment","Entire home/apt",3,1,1,2,"Real Bed",125,2,35,2,95,9,24960
"76",1885247,3192584,2012-03-08,"IJburg - Zeeburgereiland","House","Entire home/apt",5,1.5,2,4,"Real Bed",199,4,20,3,96,9,14454
"77",1885360,637131,2012-03-08,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",100,1,0,2,80,8,400
"78",1888971,1501651,2012-03-09,"Forest and Shade","Apartment","Entire home/apt",2,1,1,1,"Real Bed",80,1,0,1,88,9,960
"79",1891300,5433160,2012-03-09,"Center-East","Apartment","Private room",2,1,1,1,"Real Bed",80,1,0,2,100,9,960
"80",1894067,376765,2012-03-01,"The Baarsjes - Old West","Bed & Breakfast","Private room",2,2,1,1,"Real Bed",40,1,20,2,90,9,37680
"81",1899420,1057494,2012-03-11,"South","Apartment","Private room",2,1,1,1,"Real Bed",65,1,20,1,90,9,21760
"82",1899420,1630603,2012-03-11,"South","Apartment","Private room",1,1,1,1,"Real Bed",59,1,0,1,92,9,8024
"83",1899873,378110,2012-03-11,"The Baarsjes - Old West","Boat","Entire home/apt",2,1,1,2,"Real Bed",119,2,30,3,98,10,76398
"84",1899894,1037696,2012-03-11,"Pipe - Rivierenbuurt","Apartment","Private room",2,1,1,1,"Real Bed",45,1,10,2,84,9,2640
"85",1901477,378523,2012-03-11,"Center-East","Boat","Entire home/apt",2,1.5,1,1,"Real Bed",210,1,0,1,99,9,12600
"86",1902079,728145,2012-03-11,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,2,50,1,100,9,6300
"87",1903103,907742,2012-03-11,"The Baarsjes - Old West","Apartment","Private room",2,1,1,1,"Real Bed",90,1,0,2,96,9,5760
